POSITION,DEPARTMENT,MONTH_TOTAL,VACATION_13TH_SALARY,EVENTUAL PAYMENTS,PAYED_PREMIUM_LEAVE,OTHER_INDEMNITIES,WAGE_REDUCER,NET_TOTAL,STATUS,MONTH,YEAR
ANALISTA ADMINISTRATIVO,FUND.AMPARO PESQ.EST.SP-FAPESP,3555.07,14219.57,0.0,"0,00",0.0,0.0,2380.22,ATIVOS,JANUARY,2023
ASSESSOR TECNICO V I,FUND.PRO-SANGUE-HEMOCENTRO S.P,10040.73,0.0,0.0,"0,00",0.0,0.0,6585.33,ATIVOS,MARCH,2023
ASSISTENTE TECN ADMINISTRATIVO,AG.REG.SERV.PUB.DEL.TR.EST.SP,9298.62,0.0,0.0,"0,00",0.0,0.0,5142.35,ATIVOS,MAY,2023
ANALISTA SOCIOCULTURAL,SECRETARIA DE ESPORTES,6343.57,148.08,1447.06,"0,00",1011.9,0.0,6345.82,ATIVOS,JULY,2023
TECNICO DE PROTE  O E DEFESA D,FUNDACAO PROCON,8379.49,0.0,0.0,"0,00",0.0,0.0,6428.52,ATIVOS,JUNE,2023
TECNICO DE RECURSOS AMBIENTAIS,FUND.CONS.PR.FLOR.EST.SP F.FL.,1302.0,0.0,0.0,"0,00",619.54,0.0,1691.61,ATIVOS,APRIL,2023
CONSELHEIRO ADMINISTRATIVO,COMPANHIA DOCAS SAO SEBASTIAO,9872.69,0.0,0.0,"0,00",0.0,0.0,8187.86,ATIVOS,AUGUST,2023
ANAL.PLAN.ORC.FINANC.PUBL. II,CONTROLADORIA GERAL DO ESTADO,15411.88,0.0,0.0,"0,00",0.0,0.0,10397.47,ATIVOS,APRIL,2023
OUTROS VINCULOS,SEC.TRANSPORTES METROPOLITANOS,204.93,0.0,0.0,"0,00",0.0,0.0,204.93,ATIVOS,MAY,2023
ENGENHEIRO SENIOR,CIA.DES.HAB.URB.EST.S.P.-CDHU,19681.24,0.0,0.0,"0,00",0.0,0.0,13743.2,ATIVOS,JUNE,2023
EXECUTIVO PUBLICO,SECR.CULTURA ECONOMIA CRIATIVA,5790.43,965.07,0.0,"0,00",0.0,0.0,5226.38,ATIVOS,APRIL,2023
PERCUSSAO A,FUND.PE.ANCHIETA-C.P.RADIO TV.,5517.63,850.34,0.0,"0,00",0.0,0.0,4574.92,ATIVOS,JULY,2023
AG.FISC.REGUL.TRANSPORTE II,AG.REG.SERV.PUB.DEL.TR.EST.SP,3645.38,3759.22,0.0,"0,00",626.53,0.0,7591.48,ATIVOS,AUGUST,2023
ASSESSOR TEC. FAZ ESTADUAL II,SECRET. FAZENDA PLANEJAMENTO,9938.3,0.0,0.0,"0,00",0.0,0.0,6735.23,ATIVOS,MARCH,2023
ASSESSOR TECNICO III,DEPTO.AGUAS ENER.ELETRICA DAEE,7277.38,0.0,0.0,"0,00",0.0,0.0,5572.97,ATIVOS,APRIL,2023
TECNICO EM GESTAO PREVID. I,SAO PAULO PREVIDENCIA   SPPREV,2919.42,0.0,0.0,"0,00",0.0,0.0,2624.48,ATIVOS,JUNE,2023
TEC ADM II,CETESB-CIA.AMBIENTAL EST.S.P.,0.0,0.0,14498.84,"0,00",0.0,0.0,7738.81,ATIVOS,JULY,2023
